distance,consume,speed,speed_level,temp_inside,temp_outside,temp_level,gas_type,ac,rain,sun
11.3,4.3,38,Mid,22.0,17,Mid,SP98,0,0,0
11.5,5.3,53,Mid,22.0,15,Mid,SP98,0,0,0
21.4,5.2,51,Mid,22.0,13,Mid,SP98,0,0,0
32.0,4.9,53,Mid,22.0,15,Mid,SP98,0,0,0
41.9,4.7,53,Mid,22.0,14,Mid,SP98,0,0,0
211.0,4.6,80,High,22.0,20,Mid,SP98,0,0,0
216.1,5.3,90,High,22.0,21,Mid,SP98,0,0,1
25.5,3.6,27,Low,22.0,27,Hot,SP98,0,0,1
16.6,4.2,52,Mid,22.0,15,Mid,SP98,0,1,0
25.9,4.1,43,Mid,22.0,24,Mid,SP98,0,0,0
16.5,4.0,48,Mid,22.0,15,Mid,SP98,0,0,0
22.1,3.9,29,Low,22.0,26,Hot,SP98,0,0,0
16.6,3.7,49,Mid,22.0,17,Mid,E10,0,0,0
15.4,4.5,43,Mid,22.0,24,Mid,E10,0,0,0
16.5,3.9,43,Mid,22.0,17,Mid,E10,0,0,0
15.4,5.1,21,Low,22.0,24,Mid,E10,0,0,0
18.4,4.2,59,Mid,22.0,24,Mid,E10,0,0,0
39.5,4.2,58,Mid,22.0,25,Mid,E10,0,0,0
21.5,4.8,47,Mid,25.0,27,Hot,E10,1,0,1
4.8,4.7,26,Low,25.0,18,Mid,E10,0,0,0
100.9,4.7,87,High,23.5,22,Mid,E10,0,0,0
129.7,4.6,58,Mid,24.0,21,Mid,E10,0,0,0
16.6,3.8,43,Mid,21.5,16,Mid,E10,0,0,0
15.4,4.2,50,Mid,21.5,21,Mid,E10,0,0,0
16.0,3.7,45,Mid,22.0,17,Mid,E10,0,0,0
16.0,4.2,41,Mid,22.0,15,Mid,E10,0,0,0
15.4,4.1,45,Mid,22.0,24,Mid,E10,0,0,0
16.0,4.0,43,Mid,22.0,16,Mid,E10,0,0,0
21.0,3.8,37,Mid,22.0,21,Mid,E10,0,0,0
15.4,3.8,47,Mid,22.0,24,Mid,E10,0,0,0
16.0,3.8,42,Mid,22.0,17,Mid,E10,0,0,0
16.1,5.1,30,Low,25.0,16,Mid,E10,1,1,0
16.0,4.0,42,Mid,22.0,15,Mid,E10,0,0,0
15.4,4.8,40,Mid,22.0,18,Mid,E10,0,0,0
17.2,3.9,35,Mid,22.0,16,Mid,E10,0,0,0
16.6,4.6,50,Mid,22.0,25,Mid,E10,0,0,0
18.3,4.3,46,Mid,22.0,16,Mid,SP98,0,0,0
16.1,4.8,36,Mid,22.0,18,Mid,SP98,0,1,0
16.0,4.1,46,Mid,22.0,17,Mid,SP98,0,0,0
16.3,4.0,35,Mid,22.0,23,Mid,SP98,0,0,0
16.0,3.7,44,Mid,22.0,16,Mid,SP98,0,0,0
18.3,4.3,46,Mid,22.0,23,Mid,SP98,0,0,0
4.5,5.2,23,Low,22.0,23,Mid,SP98,0,0,1
17.0,4.2,48,Mid,22.0,16,Mid,SP98,0,0,0
6.1,5.0,35,Mid,24.5,18,Mid,SP98,0,0,0
6.1,5.0,33,Mid,22.0,24,Mid,SP98,0,0,1
17.3,4.2,36,Mid,22.0,22,Mid,SP98,0,0,0
6.0,4.8,27,Low,22.0,17,Mid,SP98,0,0,0
16.0,4.1,45,Mid,22.0,15,Mid,SP98,0,0,0
15.4,4.9,55,Mid,22.0,18,Mid,SP98,0,0,0
15.4,4.3,39,Mid,22.0,23,Mid,SP98,0,0,0
16.0,3.9,35,Mid,22.0,18,Mid,SP98,0,0,0
15.4,4.5,52,Mid,22.0,26,Hot,SP98,0,0,0
16.6,4.1,48,Mid,25.5,30,Hot,SP98,1,0,1
15.4,5.0,48,Mid,25.5,31,Hot,SP98,1,0,0
16.0,4.0,43,Mid,22.0,21,Mid,SP98,1,0,0
15.4,4.5,42,Mid,22.0,30,Hot,SP98,0,0,0
16.0,3.6,43,Mid,22.0,19,Mid,SP98,0,0,0
20.9,4.1,33,Mid,22.0,21,Mid,SP98,0,0,0
32.1,3.9,47,Mid,22.0,26,Hot,SP98,0,0,0
15.3,6.6,16,Low,24.0,27,Hot,SP98,1,0,0
28.5,4.0,44,Mid,25.0,23,Mid,SP98,1,0,0
11.9,3.7,33,Mid,25.0,19,Mid,SP98,0,0,0
14.5,4.3,36,Mid,25.0,22,Mid,SP98,0,0,0
16.6,4.1,49,Mid,22.0,26,Hot,SP98,0,0,1
16.2,4.4,39,Mid,24.5,17,Mid,SP98,1,0,0
16.7,3.8,44,Mid,24.5,23,Mid,SP98,0,0,1
8.3,5.0,52,Mid,24.5,27,Hot,SP98,0,0,0
5.5,3.7,33,Mid,24.5,28,Hot,SP98,0,0,1
13.6,3.7,33,Mid,24.5,28,Hot,SP98,0,0,1
16.0,3.7,39,Mid,24.5,18,Mid,SP98,0,0,0
16.1,4.3,38,Mid,25.0,31,Hot,SP98,1,0,0
16.0,3.8,45,Mid,25.0,19,Mid,SP98,0,0,0
15.4,4.6,42,Mid,25.0,31,Hot,SP98,1,0,0
14.7,5.0,25,Low,25.0,30,Hot,SP98,1,0,0
